URL,contains_software_set
aura.abdn.ac.uk/dspace-oai/request,No
cedadocs.badc.rl.ac.uk/cgi/oai2,No sets
clok.uclan.ac.uk/cgi/oai2,No
research.bangor.ac.uk/ws/oai,No
era.ed.ac.uk/dspace-oai/request,No
glyndwr.repository.guildhe.ac.uk/cgi/oai2,No
eprints.lse.ac.uk/cgi/oai2,No
eprints.ma.man.ac.uk/perl/oai2,No sets
research-repository.st-andrews.ac.uk/dspace-oai/request,No
pure.roehampton.ac.uk/ws/oai,No
dspace.stir.ac.uk/oai/request,No
repository.tavistockandportman.ac.uk/cgi/oai2,No
etheses.bham.ac.uk/cgi/oai2,No
ueaeprints.uea.ac.uk/cgi/oai2,Yes
uhra.herts.ac.uk/oai/request,No
eprints.lincoln.ac.uk/cgi/oai2,No
westminsterresearch.westminster.ac.uk/oai2,No
researchonline.lshtm.ac.uk/cgi/oai2,No
crco.cssd.ac.uk/cgi/oai2/,No
archive.lstmed.ac.uk/cgi/oai2,No
opendocs.ids.ac.uk/oai/request,No
qmro.qmul.ac.uk/oai/request,No
sprite.bolton.ac.uk/cgi/oai2,No
www.pure.ed.ac.uk/ws/oai,No
publications.eng.cam.ac.uk/cgi/oai2,No sets
pureapps2.hw.ac.uk/ws/oai,No sets
pure.royalholloway.ac.uk/ws/oai,No sets
derby.openrepository.com/derby/-oai/request,No
shurda.shu.ac.uk/cgi/oai2,No
dspace.stir.ac.uk/oai/rioxx,No
pure.sruc.ac.uk/ws/oai,No
pops.uclan.ac.uk/index.php/index/oai,No
journals.le.ac.uk/ojs1/index.php/index/oai,No
newman.repository.guildhe.ac.uk/cgi/oai2,No
pure.solent.ac.uk/ws/oai,No
oro.open.ac.uk/cgi/oai2,No
repository.icr.ac.uk/oai/request,No
rke.abertay.ac.uk/ws/oai,No
arro.anglia.ac.uk/cgi/oai2,No
www.repository.cam.ac.uk/oai/request,No
e-space.mmu.ac.uk/cgi/oai2,No
ecrystals.chem.soton.ac.uk/cgi/oai2,No
gala.gre.ac.uk/cgi/oai2,No
kar.kent.ac.uk/cgi/oai2,Yes
eprints.nottingham.ac.uk/cgi/oai2,No
radar.brookes.ac.uk/radar/oai,No
epubs.stfc.ac.uk/repub/oai,No
sro.sussex.ac.uk/cgi/oai2,No
strathprints.strath.ac.uk/cgi/oai2,No
uwe-repository.worktribe.com/oaiprovider,No
dera.ioe.ac.uk/cgi/oai2,No
nrl.northumbria.ac.uk/cgi/oai2,No
pure.coventry.ac.uk/ws/oai,No
etheses.lse.ac.uk/cgi/oai2,No
research.stmarys.ac.uk/cgi/oai2,No
repository.essex.ac.uk/cgi/oai2,No
research-information.bris.ac.uk/ws/oai,No
radar.gsa.ac.uk/cgi/oai2,No
eprints.staffs.ac.uk/cgi/oai2,No
repository.falmouth.ac.uk/cgi/oai2,No
uobrep.openrepository.com/uobrep/oai/request,No sets
insight.cumbria.ac.uk/cgi/oai2,No
repository.londonmet.ac.uk/cgi/oai2,No
datacompass.lshtm.ac.uk/cgi/oai2/,No sets
press-start.gla.ac.uk/index.php/press-start/oai,No
hull-repository.worktribe.com/oaiprovider,No
data.kent.ac.uk/cgi/oai2,No
www.ubplj.org/index.php/index/oai,No
hau.repository.guildhe.ac.uk/cgi/oai2,No
datastorre.stir.ac.uk/oai/openaire,No
edata.bham.ac.uk/cgi/oai2,No
bcu.eprints-hosting.org/cgi/oai2,No sets
rau.repository.guildhe.ac.uk/cgi/oai2,No
eprints.bbk.ac.uk/cgi/oai2,No
eprints.bournemouth.ac.uk/cgi/oai2,No
