URL,id,openDoarId,name,email,uri,homepageUrl,source,software,metadataFormat,createdDate,location,logo,type,stats,contains_software_set,Num_sw_records,Error,Manual_Num_sw_records,Category,Notes
aura.abdn.ac.uk/dspace-oai/request,1.0,1767.0,Aberdeen University Research Archive,aura.deposit@abdn.ac.uk,,http://aura.abdn.ac.uk,,dspace,oai_dc,2011-05-06T00:00:00+01:00,"{'countryCode': 'GB', 'latitude': 57.165, 'longitude': -2.0991}",https://api.core.ac.uk/data-providers/1/logo,REPOSITORY,,No,0.0,No error,,,
publications.aston.ac.uk/cgi/oai2,7.0,1552.0,Aston Publications Explorer,openaccess@aston.ac.uk,,http://publications.aston.ac.uk,,eprints,rioxx,2011-05-12T18:06:54+01:00,"{'countryCode': 'GB', 'latitude': 52.4862, 'longitude': -1.8896}",https://api.core.ac.uk/data-providers/7/logo,REPOSITORY,,No,0.0,BadVerbError,0.0,No direct software search capability,No software search item
cedadocs.badc.rl.ac.uk/cgi/oai2,16.0,1395.0,CEDA Repository,,,http://cedadocs.badc.rl.ac.uk,,eprints,oai_dc,2011-05-11T09:13:00+01:00,"{'countryCode': 'GB', 'latitude': 51.5668, 'longitude': -1.786}",https://api.core.ac.uk/data-providers/16/logo,REPOSITORY,,No sets,0.0,BadVerbError,0.0,No direct software search capability,No software search item
clok.uclan.ac.uk/cgi/oai2,18.0,,CLoK,clok@uclan.ac.uk,,http://clok.uclan.ac.uk,,eprints,rioxx,2011-05-10T19:54:34+01:00,"{'countryCode': 'GB', 'latitude': 53.7613, 'longitude': -2.7074}",https://api.core.ac.uk/data-providers/18/logo,REPOSITORY,,No,0.0,No error,,,
research.bangor.ac.uk/ws/oai,28.0,1523.0,Bangor University Research Portal,repository@bangor.ac.uk,,https://research.bangor.ac.uk/portal/en/researchoutputs,,dspace,oai_dc,2011-05-13T08:41:29+01:00,"{'countryCode': 'GB', 'latitude': 53.2185, 'longitude': -4.1546}",https://api.core.ac.uk/data-providers/28/logo,REPOSITORY,,No,0.0,Bad Argument Error,,,
era.ed.ac.uk/dspace-oai/request,39.0,463.0,Edinburgh Research Archive,scholcomms@ed.ac.uk,,https://era.ed.ac.uk/,,dspace,oai_dc,2011-05-13T09:01:31+01:00,"{'countryCode': 'gb', 'latitude': 55.95, 'longitude': -3.2}",https://api.core.ac.uk/data-providers/39/logo,REPOSITORY,,No,0.0,No error,,,
dspace1.isd.glam.ac.uk/dspace-oai/request,46.0,1021.0,Glamorgan Dspace,,,http://dspace1.isd.glam.ac.uk,,dspace,oai_dc,2011-07-07T17:04:51+01:00,"{'countryCode': 'GB', 'latitude': 51.58874, 'longitude': -3.32578}",https://api.core.ac.uk/data-providers/46/logo,REPOSITORY,,,,,,,
glyndwr.repository.guildhe.ac.uk/cgi/oai2,49.0,1603.0,Glyndŵr University Research Online,repository@glyndwr.ac.uk,,https://glyndwr.repository.guildhe.ac.uk/,,Eprints 3,rioxx,2011-05-12T20:43:39+01:00,"{'countryCode': 'GB', 'latitude': 53.053, 'longitude': -3.0056}",https://api.core.ac.uk/data-providers/49/logo,REPOSITORY,,No,0.0,No error,,,
eprints.lse.ac.uk/cgi/oai2,67.0,,LSE Research Online,lseresearchonline@lse.ac.uk,,http://eprints.lse.ac.uk,,eprints,oai_dc,2011-05-14T22:11:30+01:00,"{'countryCode': 'gb', 'latitude': 51.5144, 'longitude': -0.116893}",https://api.core.ac.uk/data-providers/67/logo,REPOSITORY,,No,0.0,No error,,,
eprints.mdx.ac.uk/cgi/oai2,71.0,,Middlesex University Research Repository,eprints@mdx.ac.uk,,http://eprints.mdx.ac.uk,,eprints,rioxx,2011-07-07T16:03:34+01:00,"{'countryCode': 'gb', 'latitude': 51.5, 'longitude': -0.1167}",https://api.core.ac.uk/data-providers/71/logo,REPOSITORY,,No,0.0,BadVerbError,0.0,No direct software search capability,No software search item
