Report_Name,"Item type mapping details"
Institution_Name," - All - "
Repository_Name," - All - "
Item_Type,Software
Source_Item_Type,Software||Software
Created,2022-08-26T16:24:44Z
Created_By,IRUS

Title,Authors,Year_Of_Publication,Repository,OAI_ID,URI
"AddressNet: A robust street address parser using a Recurrent Neural Network","Jason Rigby (2815987)",2019,"Monash figshare",oai:figshare.com:article/11346338,https://figshare.com/articles/software/AddressNet_A_robust_street_address_parser_using_a_Recurrent_Neural_Network/11346338
"A Deep Learning Framework for Autonomous Flame Detection","Zhenglin Li (7536968); Lyudmila Mihaylova (1230156); Le Yang (3641509)",2021,"Sheffield figshare",oai:figshare.com:article/14408936,https://figshare.com/articles/software/A_Deep_Learning_Framework_for_Autonomous_Flame_Detection/14408936
"A Design Approach to IoT Endpoint Security for Production Machinery Monitoring","Stefano Tedeschi (2934441); Christos Emmanouilidis (2599987); Jörn Mehnen (6709502); Rajkumar Roy (6454769)",2019,"Cranfield Online Research Data (CORD)",oai:figshare.com:article/8143340,https://figshare.com/articles/software/A_Design_Approach_to_IoT_Endpoint_Security_for_Production_Machinery_Monitoring/8143340
"A Dirichlet Process Mixture Model for Autonomous Sleep Apnea Detection using Oxygen Saturation Data","Zhenglin Li (7536968); Mihaylova, Lyudmila S (8256102)",2021,"Sheffield figshare",oai:figshare.com:article/14406311,https://figshare.com/articles/software/A_Dirichlet_Process_Mixture_Model_for_Autonomous_Sleep_Apnea_Detection_using_Oxygen_Saturation_Data/14406311
"Aerosonde Simulation","Joni Pelham (2598964)",2018,"Cranfield Online Research Data (CORD)",oai:figshare.com:article/3830382,https://figshare.com/articles/software/Aerosonde_Simulation/3830382
"AHDA Python Workshop sample text","David King (3624788)",2019,"Open Research Data Online (ORDO)",oai:figshare.com:article/8040266,https://figshare.com/articles/software/AHDA-sample-text/8040266
"Algorithm code for solving unconstrained unitary quantum brachistochrone problems (Mathematica notebook)","Francesco Campaioli (7379039)",2019,"Monash figshare",oai:figshare.com:article/9846113,https://figshare.com/articles/software/Algorithm_code_Mathematica_notebook_/9846113
"Algorithms and models for autonomous crowds tracking with box particle filtering and convolution particle filtering","Allan De Freitas (2748247); Lyudmila Mihaylova (1230156)",2016,"Sheffield figshare",oai:figshare.com:article/3543269,https://figshare.com/articles/software/Implementation_of_an_algorithm_for_autonomous_crowds_tracking_with_box_particle_filtering_and_convolution_particle_filtering/3543269
"Analysis.R for How uncertain is the survival extrapolation? A study of the impact of different parametric survival models on extrapolated uncertainty about hazard functions, lifetime mean survival and cost-effectiveness","Benjamin Kearns (2758267)",2019,"Sheffield figshare",oai:figshare.com:article/9751913,https://figshare.com/articles/software/Analysis_R/9751913
"Analysis of population data","Colin Angus (2758270)",2021,"Sheffield figshare",oai:figshare.com:article/16586246,https://figshare.com/articles/software/Analysis_of_population_data/16586246
"An automatic method for the identification and mapping of hummock corridors","Emma Lewington (3306447); Stephen Livingstone (2757583); Andrew Sole (2757595); Felix Ng (2757550); Christopher Clark (2757496)",2019,"Sheffield figshare",oai:figshare.com:article/7999445,https://figshare.com/articles/software/An_automatic_method_for_the_identification_and_mapping_of_hummock_corridors/7999445
"A Partial Oracle for Uniformity Statistics Code","Krishna Patel (5841560); Robert Hierons (5710733)",2019,"Sheffield figshare",oai:figshare.com:article/8792135,https://figshare.com/articles/software/A_Partial_Oracle_for_Uniformity_Statistics_Code/8792135
"atac_seq_pipeline for Thesis ""Computational analysis of enhancer deregulation in Multiple Myeloma""","Jaime Alvarez Benayas (2762758)",2020,"Sheffield figshare",oai:figshare.com:article/12280844,https://figshare.com/articles/software/atac_seq_pipeline_for_Thesis_Computational_analysis_of_enhancer_deregulation_in_Multiple_Myeloma_/12280844
"ATAT 1.0","Jeremy Ely (2757607)",2018,"Sheffield figshare",oai:figshare.com:article/5878348,https://figshare.com/articles/software/ATAT_1_0/5878348
