Report_Name,"Item type mapping details"
Institution_Name," - All - "
Repository_Name," - All - "
Item_Type,Software
Source_Item_Type,Software||NonPeerReviewed
Created,2022-08-26T16:25:20Z
Created_By,IRUS

Title,Authors,Year_Of_Publication,Repository,OAI_ID,URI
"aliaksei135/seedpod_ground_risk: v0.13.0","Pilko, Aliaksei; Tait, Zachary",2021,"University of Southampton - ePrints Soton",oai:eprints.soton.ac.uk:453317,https://eprints.soton.ac.uk/453317/
"Countryside Character Area Historic Farm Buildings Photo System","Gaskell, Peter; Clark, Michael",2008,"University of Gloucestershire Research Repository",oai:eprints.glos.ac.uk:3997,https://eprints.glos.ac.uk/3997/
"DART Domestic Abuse Reference Tool","Monckton-Smith, Jane",2017,"University of Gloucestershire Research Repository",oai:eprints.glos.ac.uk:4551,https://eprints.glos.ac.uk/4551/
"Differential Algebra Core Engine (DACE): version 2.0.1","Wittig, Alexander Nicolaus; Di Lizia, Pierluigi; Massari, Mauro; Rasotto, Mirco; Morselli, Alessandro; Armellin, Roberto",2018,"University of Southampton - ePrints Soton",oai:eprints.soton.ac.uk:453122,https://eprints.soton.ac.uk/453122/
Eigen4AutoIt,"Jonkers, A",2015,"University of Liverpool Repository",oai:livrepository.liverpool.ac.uk:3000277,http://livrepository.liverpool.ac.uk/3000277/
"Fortran Asteroid Retrieval toolkit: version 1.1","Tyler, Jack; Wittig, Alexander Nicolaus",2021,"University of Southampton - ePrints Soton",oai:eprints.soton.ac.uk:453125,https://eprints.soton.ac.uk/453125/
"Historic Farmsteads Photo System","Gaskell, Peter; Clark, Michael",2003,"University of Gloucestershire Research Repository",oai:eprints.glos.ac.uk:4020,https://eprints.glos.ac.uk/4020/
"Local Authority Districts Historic Farm Buildings Photo System","Gaskell, Peter; Clark, Michael",2007,"University of Gloucestershire Research Repository",oai:eprints.glos.ac.uk:3996,https://eprints.glos.ac.uk/3996/
"PyHole: General relativity ray tracing and analysis tool","Wittig, Alexander Nicolaus; Grover, Jai",2017,"University of Southampton - ePrints Soton",oai:eprints.soton.ac.uk:453123,https://eprints.soton.ac.uk/453123/
"Terrestrial Exoplanet Simulator (TES): version 1.0","Bartram, Peter; Wittig, Alexander Nicolaus",2021,"University of Southampton - ePrints Soton",oai:eprints.soton.ac.uk:453124,https://eprints.soton.ac.uk/453124/
"The Overlap Package","Meredith, M.; Ridout, Martin S.",2014,"Kent Academic Repository - KAR",oai:kar.kent.ac.uk:41474,https://kar.kent.ac.uk/41474/
"XR Orbit Visualization Toolkit","Wittig, Alexander Nicolaus",2021,"University of Southampton - ePrints Soton",oai:eprints.soton.ac.uk:453126,https://eprints.soton.ac.uk/453126/
"Zak, exploring radicalisation","Sheriyar, Alamgir",2013,"Kent Academic Repository - KAR",oai:kar.kent.ac.uk:47230,https://kar.kent.ac.uk/47230/
