Report_Name,"Item type mapping details"
Institution_Name," - All - "
Repository_Name," - All - "
Item_Type,Software
Source_Item_Type,Software
Created,2022-08-26T16:26:05Z
Created_By,IRUS

Title,Authors,Year_Of_Publication,Repository,OAI_ID,URI
2DChebClass,"Goddard, Benjamin; Nold, Andreas; Kalliadasis, Serafim",2017,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/2647,https://hdl.handle.net/10283/2647
"Accounting for the Complex Hierarchical Topology of EEG Functional Connectivity in Network Binarisation","Smith, Keith",2017,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/2783,https://hdl.handle.net/10283/2783
"Additional files for 'DNA sonification for public engagement in bioinformatics'","Plaisier, Heleen; Meagher, Thomas R; Barker, Daniel",2021,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/3929,https://hdl.handle.net/10283/3929
"Additional files for 'Using sound to understand protein sequence data: new sonification algorithms for protein sequences and multiple sequence alignments'","Martin, Edward J; Meagher, Thomas R; Barker, Daniel",2021,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/3883,https://hdl.handle.net/10283/3883
"A Fortran dynamic link library (DLL) version of the Rothamsted carbon model ROTHC-26.3","Coleman, K.",1999,"Rothamsted Repository",oai:repository.rothamsted.ac.uk:883x8,https://repository.rothamsted.ac.uk/item/883x8/a-fortran-dynamic-link-library-dll-version-of-the-rothamsted-carbon-model-rothc-26-3
"A four-dimensional computational model of dynamic contrast-enhanced magnetic resonance imaging measurement of subtle blood-brain barrier leakage: source code","Bernal, Jose; Valdés-Hernández, Maria d C; Escudero, Javier; Heye, Anna K; Sakka, Eleni; Armitage, Paul A; Makin, Stephen; Touyz, Rhian M; Wardlaw, Joanna M; Thrippleton, Michael J",2020,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/3809,https://hdl.handle.net/10283/3809
"AgentsInternational - an Internet-enabled hybrid system that integrates multiple intelligent agents, Monte Carlo simulation, knowledge bases and fuzzy logic for international marketing decision making","Li, J.Z.; Li, Shuliang",2008,WestminsterResearch,oai:westminsterresearch.westminster.ac.uk:966y3,https://westminsterresearch.westminster.ac.uk/item/966y3/agentsinternational-an-internet-enabled-hybrid-system-that-integrates-multiple-intelligent-agents-monte-carlo-simulation-knowledge-bases-and-fuzzy-logic-for-international-marketing-decision-making
"Aggregated Canopy Model for Gross Primary Productivity and Evapotranspiration (Version 1); ACM-GPP-ETv1","Smallman, Thomas Luke; Williams, Mathew",2018,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/3237,https://hdl.handle.net/10283/3237
"A multi-agent-based simulation system for allowance allocation management of carbon dioxide emissions in China","Liu, N.; Li, Shuliang; Fan, L.",2016,WestminsterResearch,oai:westminsterresearch.westminster.ac.uk:q0q38,https://westminsterresearch.westminster.ac.uk/item/q0q38/a-multi-agent-based-simulation-system-for-allowance-allocation-management-of-carbon-dioxide-emissions-in-china
"An algorithm that gap-fills Sentinel-2-based leaf area index (LAI) time-series using Sentinel-1-based backscatter and vapour pressure deficit (VPD) data","Myrgiotis, Vasilis",2021,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/4086,https://hdl.handle.net/10283/4086
"Analysis Software for Model Checking Edinburgh Buses","Reijsbergen, Daniel; Gao, Wulinjian",2016,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/2094,https://hdl.handle.net/10283/2094
"An Electro-thermal Model for  the A123 26650 LiFePO4 Battery","Lin, Xinfan; Perez, Hector; Siegel, Jason; Stefanopoulou, Anna",2013,"Deep Blue (University of Michigan)",oai:deepblue.lib.umich.edu:2027.42/97341,https://hdl.handle.net/2027.42/97341
"Approximate Adaptive Beam-Pattern Design","Herbert, Steven; Hopgood, James R.; Mulgrew, Bernie",2018,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/3145,https://hdl.handle.net/10283/3145
"Black-grass model","Metcalfe, H.",2021,"Rothamsted Repository",oai:repository.rothamsted.ac.uk:98539,https://repository.rothamsted.ac.uk/item/98539/black-grass-model
"Blueprints model - a simple model to simulate combinations of the efficiency controls for hypothetical, economically and environmentally sustainable systems","Del Prado, A.; Brown, L.; Scholefield, D.",2006,"Rothamsted Repository",oai:repository.rothamsted.ac.uk:85v5v,https://repository.rothamsted.ac.uk/item/85v5v/blueprints-model-a-simple-model-to-simulate-combinations-of-the-efficiency-controls-for-hypothetical-economically-and-environmentally-sustainable-systems
"bms_runner: script using BayesTraits to implement methods from 'Constrained models of evolution lead to improved prediction of functional linkage from correlated gain and loss of genes'","Barker, Daniel; Pagel, Mark",2021,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/4061,https://hdl.handle.net/10283/4061
calculateOpenings,"Valero, Enrique; Bosché, Frédéric",2022,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/3736,https://hdl.handle.net/10283/3736
"Code for Factorial Switching Linear Dynamical System (FSLDS)  Monitoring of Intensive Care Unit Data","Williams, Chris; Lal, Partha; Shaw, Martin",2015,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/855,https://hdl.handle.net/10283/855
"Code for plotting the distribution of contact orientations in granular media","Papanicolopulos, Stefanos; Karatza, Zeynep; He, Guoliang",2021,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/3974,https://hdl.handle.net/10283/3974
"Code supporting Unsupervised machine learning applied to scanning precession electron diffraction data","Martineau, B",2022,"Apollo - University of Cambridge Repository",oai:www.repository.cam.ac.uk:1810/332768,https://www.repository.cam.ac.uk/handle/1810/332768
"Code to generate simulated blood biomarker profiles, generate corresponding non-invasive measurements, build and train neural network and reconstruct data with trained network","Donora, Matthew",2018,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/3208,https://hdl.handle.net/10283/3208
"DALEC2; Data assimilation linked ecosystem carbon model, version 2","Williams, Mathew",2019,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/3267,https://hdl.handle.net/10283/3267
"Deary-Liewald Reaction time","Liewald, D; Deary, IJ",2016,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/2085,https://hdl.handle.net/10283/2085
"Dispersion in networks","Danioux, Eric",2016,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/1925,https://hdl.handle.net/10283/1925
dynamic_spectral_panner,"Morrell, MJ",2013,"Queen Mary Research Online (QMRO)",oai:qmro.qmul.ac.uk:123456789/4802,http://qmro.qmul.ac.uk/xmlui/handle/123456789/4802
editMaterials,"Ceklarz, Michal; Valero, Enrique; Bosché, Frédéric",2022,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/3735,https://hdl.handle.net/10283/3735
"Energy-Efficiency Maximization of Hybrid Massive MIMO Precoding with Random-Resolution DACs via RF Selection Matlab Software","Vlachos, Evangelos; Thompson, John S",2020,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/3782,https://hdl.handle.net/10283/3782
"ePython - a tiny Python implementation for micro-core architectures","Brown, Nick",2018,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/3072,https://hdl.handle.net/10283/3072
"Error Assessment of Response Time Histories (EARTH)","Hulbert, Gregory M.; Kokkolaras, Michael; Mourelatos, Zissimos Petropavlos; Papalambros, Panos Y.",2011,"Deep Blue (University of Michigan)",oai:deepblue.lib.umich.edu:2027.42/90425,https://hdl.handle.net/2027.42/90425
"EXPLORER Source Code Archive","Williams, Owen; Warrington, Peter",2012,"De Montfort University Open Research Archive - DORA",oai:dora.dmu.ac.uk:2086/5718,http://hdl.handle.net/2086/5718
extractStoreys,"Valero, Enrique; Bosché, Frédéric",2022,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/3738,https://hdl.handle.net/10283/3738
"Factors associated with potentially serious incidental findings and with serious final diagnoses on multimodal imaging in the UK Biobank Imaging Study: a prospective cohort study","Gibson, Lorna Mary; Nolan, John",2019,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/3112,https://hdl.handle.net/10283/3112
"Fast methods for training Gaussian processes","Moore, Christopher J; Chua, Alvin J K; Berry, Christopher P L; Gair, Jonathan R",2016,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/1924,https://hdl.handle.net/10283/1924
"Fast Orthonormal Sparsifying Transforms Based on Householder Reflectors","Rusu, Cristian",2016,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/2208,https://hdl.handle.net/10283/2208
"Four Input Amplitude Modulator","Holmes, Jonothan",2016,"Sydney eScholarship Repository",oai:ses.library.usyd.edu.au:2123/15034,http://hdl.handle.net/2123/15034
"Genstat 5 Release 2.2. Student version for IBM XT/AT and compatible PCs","Payne, R. W.; Lane, P.; Harding, S.; Murray, D.; Thompson, R.; Todd, A.; Welham, S. J.",1993,"Rothamsted Repository",oai:repository.rothamsted.ac.uk:87603,https://repository.rothamsted.ac.uk/item/87603/genstat-5-release-2-2-student-version-for-ibm-xt-at-and-compatible-pcs
"Genstat 5 Release 3.2 version for PC Windows and DOS","Payne, R. W.; Lane, P.; Harding, S.; Murray, D.; Thompson, R.; Todd, A.; Welham, S. J.",1996,"Rothamsted Repository",oai:repository.rothamsted.ac.uk:8760z,https://repository.rothamsted.ac.uk/item/8760z/genstat-5-release-3-2-version-for-pc-windows-and-dos
"GPU Acceleration of FSM Input Execution: Artifacts","Yaneva-Cormack, Vanya",2021,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/4033,https://hdl.handle.net/10283/4033
GWmodel,"Lu, B.; Harris, P.; Charlton, M.; Brunsdon, C; Nakaya, T.; Gollini, I.",2019,"Rothamsted Repository",oai:repository.rothamsted.ac.uk:8w9yy,https://repository.rothamsted.ac.uk/item/8w9yy/gwmodel
"Hatred Apparatus","Poltronieri, Fabrizio Augusto",2017,"De Montfort University Open Research Archive - DORA",oai:dora.dmu.ac.uk:2086/14497,http://hdl.handle.net/2086/14497
"HDfleX: Software for the flexible structural resolution of hydrogen-deuterium exchange mass spectrometry data","Seetaloo, N; Kish, M; Phillips, JJ",2021,"Open Research Exeter (ORE)",oai:ore.exeter.ac.uk:10871/127982,http://hdl.handle.net/10871/127982
HypFun,"Pearson, John",2014,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/607,https://hdl.handle.net/10283/607
"iDrumTune Pro","Toulson, R.",2017,WestminsterResearch,oai:westminsterresearch.westminster.ac.uk:q17q8,https://westminsterresearch.westminster.ac.uk/item/q17q8/idrumtune-pro
