Provider’s legal name,Provider’s trading name(s),Provider's website,Pure Add,Search string,Pure Research Outputs,Pure Software Outputs,HOST,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,,,,,
The University of Surrey,Not applicable,https://www.surrey.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of York,Not applicable,https://www.york.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aston University,Not applicable,https://www.aston.ac.uk/,https://research.aston.ac.uk/,https://research.aston.ac.uk/en/publications/?format=&type=%2Fdk%2Fatira%2Fpure%2Fresearchoutput%2Fresearchoutputtypes%2Fnontextual%2Fsoftware&nofollow=true,32693,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Chancellor, Masters, and Scholars of the University of Cambridge","The University of Cambridge
Cambridge University",https://www.cam.ac.uk/,https://www.repository.cam.ac.uk/browse?type=type&value=Software,https://www.repository.cam.ac.uk/browse?type=type&value=Software,288308,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Southampton,Not applicable,https://www.southampton.ac.uk,https://eprints.soton.ac.uk/cgi/search/advanced,https://eprints.soton.ac.uk/cgi/search/archive/advanced?order=-date%2Fcontributors_name%2Ftitle&_action_search=Reorder&screen=Search&dataset=archive&exp=0%7C1%7Ccontributors_name%2F-date%2Ftitle%7Carchive%7C-%7Ctype%3Atype%3AANY%3AEQ%3Asoftware%7C-%7Ceprint_status%3Aeprint_status%3AANY%3AEQ%3Aarchive%7Cmetadata_visibility%3Ametadata_visibility%3AANY%3AEQ%3Ashow,183289,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Brighton,Not applicable,https://www.brighton.ac.uk,https://research.brighton.ac.uk/,https://research.brighton.ac.uk/en/publications/?format=&type=%2Fdk%2Fatira%2Fpure%2Fresearchoutput%2Fresearchoutputtypes%2Fnontextual%2Fsoftware&nofollow=true,21481,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The University of Liverpool,Not applicable,https://www.liverpool.ac.uk,https://livrepository.liverpool.ac.uk/,https://livrepository.liverpool.ac.uk/view/doctype/software/,40817,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birmingham City University,Not applicable,https://www.bcu.ac.uk,http://www.open-access.bcu.ac.uk/,http://www.open-access.bcu.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=&keywords_merge=ALL&keywords=&subjects_merge=ANY&type=other&department_merge=ALL&department=&editors_name_merge=ALL&editors_name=&refereed=EITHER&publication_merge=ALL&publication=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle&_action_search=Search,6366,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Sunderland,Not applicable,https://www.sunderland.ac.uk,https://sure.sunderland.ac.uk/,,,0,eprints,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anglia Ruskin University Higher Education Corporation,Not applicable,https://www.anglia.ac.uk,https://arro.anglia.ac.uk,,7598,0,eprints,,,,,,,,,,,,,,,,,,,,,,,,,,,
