Name,Type,Compatibility,OAI-PMH,website
"University of Bath Open Access Repository",Institutional Repository,OpenAIRE Basic (DRIVER OA),,https://purehost.bath.ac.uk/portal/en
"Royal College of Music Research Online",Institutional Repository,collected from a compatible aggregator,,http://www.rcm.ac.uk/research/
"e-Prints Soton",Institutional Repository,OpenAIRE Basic (DRIVER OA),https://eprints.soton.ac.uk/cgi/oai2,https://eprints.soton.ac.uk/
"Huddersfield Research Portal",Institutional Repository,not available,,https://pure.hud.ac.uk/en/publications/
"Oxfam Policy & Practice",Institutional Repository,not available,,http://oxfamilibrary.openrepository.com/oxfam/
"City Research Online",Institutional Repository,collected from a compatible aggregator,,http://openaccess.city.ac.uk/
"ReStore repository",Institutional Repository,not available,,http://www.restore.ac.uk/
"edShare@GCU",Institutional Repository,not available,,https://edshare.gcu.ac.uk
"LSBU Research Open",Institutional Repository,collected from a compatible aggregator,,http://researchopen.lsbu.ac.uk/
"Queens Papers on Europeanisation",Institutional Repository,not available,,http://www.qub.ac.uk/schools/SchoolofPoliticsInternationalStudiesandPhilosophy/Research/PaperSeries/
"Open Access Institutional Repository at Robert Gordon University",Institutional Repository,not available,,https://openair.rgu.ac.uk/
"Bradford Scholars",Institutional Repository,OpenAIRE Basic (DRIVER OA),,http://bradscholars.brad.ac.uk/
"Glamorgan Dspace",Institutional Repository,not available,,http://dspace1.isd.glam.ac.uk/dspace/
"Solent Electronic Archive",Institutional Repository,not available,,http://ssudl.solent.ac.uk/
"UCA Research Online",Institutional Repository,OpenAIRE Basic (DRIVER OA),http://www.research.ucreative.ac.uk/cgi/oai2,http://research.ucreative.ac.uk/
"Queen’s University Belfast: Special Collections & Archives",Institutional Repository,not available,,https://cdm15979.contentdm.oclc.org
"St. Andrew’s Repository System",Institutional Repository,not available,,https://stars.repo.nii.ac.jp
"Stirling Online Research Repository",Institutional Repository,not available,,https://dspace.stir.ac.uk/
"University of Northamptons Research Explorer",Institutional Repository,not available,,https://pure.northampton.ac.uk
"University of St Andrews Research Portal",Institutional Repository,not available,,https://risweb.st-andrews.ac.uk/portal/
"SOAS Research Online",Institutional Repository,collected from a compatible aggregator,,https://eprints.soas.ac.uk/
"London Met Repository",Institutional Repository,collected from a compatible aggregator,,http://eprints.londonmet.ac.uk/
"Warwick Research Archives Portal Repository",Institutional Repository,collected from a compatible aggregator,,http://wrap.warwick.ac.uk/
"Oxford Brookes University Research Archive and Digital Asset Repository",Institutional Repository,OpenAIRE PubRepos v4.0,,https://radar.brookes.ac.uk/radar
"Royal Devon and Exeter Research Repository",Institutional Repository,not available,,https://rde.openrepository.com
"Ted Nelsons EPrint Archive",Institutional Repository,not available,,http://tprints.ecs.soton.ac.uk/
"University of Sheffield Library Digital Collections",Institutional Repository,not available,,http://cdm15847.contentdm.oclc.org
"Heriot-Watt Research Portal",Institutional Repository,not available,,https://researchportal.hw.ac.uk
"UHI Research Repository",Institutional Repository,not available,,https://pure.uhi.ac.uk
"LJMU Research Online",Institutional Repository,collected from a compatible aggregator,,http://researchonline.ljmu.ac.uk/
"Kingston University Research Repository",Institutional Repository,collected from a compatible aggregator,,http://eprints.kingston.ac.uk/
"St George's Online Research Archive",Institutional Repository,collected from a compatible aggregator,,http://openaccess.sgul.ac.uk/
"The Linnean Collections",Institutional Repository,not available,,http://www.linnean-online.org
"Research Repository",Institutional Repository,not available,,https://aecc.archive.knowledgearc.net/
"Abertay Research Portal",Institutional Repository,not available,,https://rke.abertay.ac.uk/
"Oxford University Research Archive",Institutional Repository,OpenAIRE PubRepos v4.0,https://ora.ox.ac.uk/oai2,http://ora.ox.ac.uk/
"Plymouth Marjon University Repository (CREST)",Institutional Repository,not available,,https://marjon.collections.crest.ac.uk
"Keele Research Repository",Institutional Repository,collected from a compatible aggregator,,http://eprints.keele.ac.uk/
"LSHTM Research Online",Institutional Repository,collected from a compatible aggregator,,http://researchonline.lshtm.ac.uk/
"Apollo",Institutional Repository,OpenAIRE Basic (DRIVER OA),https://www.repository.cam.ac.uk/oai/request,http://www.repository.cam.ac.uk/
"UCL Adastral Park Repository",Institutional Repository,not available,,http://eprints.adastral.ucl.ac.uk/
"Newman University Repository (CREST)",Institutional Repository,not available,,https://newman.collections.crest.ac.uk
"PRESTO",Institutional Repository,not available,,https://presto.ram.ac.uk
"ResearchOnline at Glasgow Caledonian University",Institutional Repository,not available,,https://researchonline.gcu.ac.uk
"Royal Botanic Gardens, Kew Research Repository",Institutional Repository,not available,,https://kew.iro.bl.uk
"Wolverhampton Intellectual Repository and E-theses",Institutional Repository,not available,,http://wlv.openrepository.com/wlv/
"Institutional Repository",Institutional Repository,collected from a compatible aggregator,,http://irep.ntu.ac.uk/
"DSpace at Imperial College London",Institutional Repository,not available,,https://spectradspace.lib.imperial.ac.uk:8443/
"Birkbeck Institutional Research Online",Institutional Repository,collected from a compatible aggregator,,http://eprints.bbk.ac.uk/
"Aston Publications Explorer",Institutional Repository,collected from a compatible aggregator,,http://publications.aston.ac.uk/
"University of Dundee Online Publications",Institutional Repository,not available,,http://discovery.dundee.ac.uk/
"Loughborough University Research Repository",Institutional Repository,not available,,https://repository.lboro.ac.uk
"University of Derby Online Research Archive",Institutional Repository,not available,,https://repository.derby.ac.uk/
"ELOGeo Repository",Institutional Repository,not available,,http://elogeo.nottingham.ac.uk/xmlui/
"The UWS Academic Portal",Institutional Repository,not available,,https://research-portal.uws.ac.uk
"Edinburgh Research Archive",Institutional Repository,OpenAIRE Basic (DRIVER OA),https://era.ed.ac.uk/oai/request,http://www.era.lib.ed.ac.uk/
"STORE - Staffordshire Online Repository",Institutional Repository,collected from a compatible aggregator,,http://eprints.staffs.ac.uk/
"DSpace at Cardiff Met",Institutional Repository,not available,,https://repository.cardiffmet.ac.uk/
"NCRM EPrints Repository",Institutional Repository,not available,,http://eprints.ncrm.ac.uk
"University of Liverpool Repository",Institutional Repository,collected from a compatible aggregator,,https://livrepository.liverpool.ac.uk/
"BG Research Online",Institutional Repository,collected from a compatible aggregator,,http://researchonline.bishopg.ac.uk/
"White Rose E-theses Online",Institutional Repository,not available,,http://etheses.whiterose.ac.uk/
"Online Repository - Elmwood College Scotland",Institutional Repository,not available,,http://www.elmwood.ac.uk/about/college-documents
"Royal College of Art Research Repository",Institutional Repository,not available,,https://researchonline.rca.ac.uk/
"Surrey Research Insight",Institutional Repository,OpenAIRE Basic (DRIVER OA),http://epubs.surrey.ac.uk/cgi/oai2,http://epubs.surrey.ac.uk/
"Kent Academic Repository",Institutional Repository,collected from a compatible aggregator,,http://kar.kent.ac.uk/
"Norwich Bioscience Institutes Open Access Repository",Institutional Repository,not available,,https://openaccess.nbi.ac.uk/
"Leeds Beckett University Repository",Institutional Repository,collected from a compatible aggregator,,http://eprints.leedsbeckett.ac.uk/
"Foodbase",Institutional Repository,not available,,http://www.foodbase.org.uk/
"University of South Wales Research Explorer",Institutional Repository,not available,,https://pure.southwales.ac.uk/
"Edinburgh Research Explorer",Institutional Repository,OpenAIRE 2.0+ (DRIVER OA EC funding),https://www.pure.ed.ac.uk/ws/oai,http://www.research.ed.ac.uk/portal/
"Trinity Laban Research Online",Institutional Repository,not available,,https://researchonline.trinitylaban.ac.uk
"Department of Computer Science E-Repository",Institutional Repository,not available,,http://calcium.dcs.kcl.ac.uk/
"Queen's University Research Portal",Institutional Repository,OpenAIRE Basic (DRIVER OA),http://pure.qub.ac.uk/ws/oai,http://pure.qub.ac.uk/portal/
"St Mary's University Open Research Archive",Institutional Repository,collected from a compatible aggregator,,http://research.stmarys.ac.uk/
"King's Research Portal",Institutional Repository,OpenAIRE Basic (DRIVER OA),https://kclpure.kcl.ac.uk/ws/oai,https://kclpure.kcl.ac.uk/portal/
"Nottingham Research Repository",Institutional Repository,collected from a compatible aggregator,,https://nottingham-repository.worktribe.com
