URL,,,,
spiral,imperial,ac,uk/,
researchdata,gla,ac,,
research-information,bris,ac,,
https://www,research,ed,ac,uk
pure-oai,bham,ac,,
www,repository,cam,ac,
pure,qub,ac,,
kclpure,kcl,ac,,
pure,manchester,ac,,
ore,exeter,ac,,
livrepository,liverpool,ac,,
discovery,ucl,ac,,
era,ed,ac,uk/,
eprints,lse,ac,,
etheses,whiterose,ac,,
eprints,whiterose,ac,,
qmro,qmul,ac,,
eprints,nottingham,ac,,
edata,bham,ac,,
dro,dur,ac,,
eprints,gla,ac,,
ora,ox,ac,,
wrap,warwick,ac,,
epapers,bham,ac,,
ota,bodleian,ox,ac,uk
eprints,esc,cam,ac,
orca,cardiff,ac,,
eprint,ncl,ac,uk/,
nottingham-repository,worktribe,comprovider,,
rdmc,nottingham,ac,uk,
,,,,
risweb,st-andrews,ac,,
repository,rothamsted,ac,,
westminsterresearch,westminster,ac,,
researchportal,port,ac,,
research,gold,ac,,
https://researchportal,bath,ac,uk,
kar,kent,ac,,
discovery,dundee,ac,,
eprints,soton,ac,,
pure,hud,ac,,
cris,brighton,ac,,
pure,ulster,ac,,
irep,ntu,ac,,
openaccess,city,ac,,
research,bangor,ac,,
pure,royalholloway,ac,,
rke,abertay,ac,uk/,
researchdata,reading,ac,,
research,tees,ac,,
research,edgehill,ac,,
eprints,glos,ac,,
orda,shef,ac,uk/,
derby,openrepository,com/derby/-oai/request,,
pure,sruc,ac,uk/,
eprints,bournemouth,ac,,
repository,uel,ac,,
researchonline,gcu,ac,,
pure,northampton,ac,,
aura,abdn,ac,uk/,
publications,aston,ac,,
cedadocs,badc,rl,ac,
clok,uclan,ac,,
glyndwr,repository,guildhe,ac,
eprints,mdx,ac,,
eprints,ma,man,ac,uk/perl2
research-repository,st-andrews,ac,uk/,
https://pure,roehampton,ac,uk/portal,
dspace,stir,ac,,
uhra,herts,ac,,
eprints,lincoln,ac,,
researchonline,lshtm,ac,,
crco,cssd,ac,/,
archive,lstmed,ac,,
researchonline,rca,ac,,
opendocs,ids,ac,,
sprite,bolton,ac,,
shurda,shu,ac,,
dspace,stir,ac,uk/,
newman,repository,guildhe,ac,
pure,solent,ac,uk/,
oro,open,ac,,
arro,anglia,ac,,
e-space,mmu,ac,,
gala,gre,ac,,
radar,brookes,ac,uk,
epubs,stfc,ac,uk/repub,
sro,sussex,ac,,
strathprints,strath,ac,,
uwe-repository,worktribe,comprovider,,
dera,ioe,ac,,
nrl,northumbria,ac,,
pure,coventry,ac,,
research,stmarys,ac,,
repository,essex,ac,,
radar,gsa,ac,,
eprints,staffs,ac,,
repository,falmouth,ac,,
insight,cumbria,ac,,
repository,londonmet,ac,,
hull-repository,worktribe,comprovider,,
hau,repository,guildhe,ac,
www,repository,uhblibrary,co,
bcu,eprints-hosting,org/cgi2,,
rau,repository,guildhe,ac,
openresearch,surrey,ac,uk/view/44SUR_INST/request,
repository,alt,ac,,
eprints,bbk,ac,,
bradscholars,brad,ac,uk/,
eprints,lancs,ac,,
researchonline,ljmu,ac,,
nectar,northampton,ac,,
eprints,soas,ac,,
research,uca,ac,,
repository,uwl,ac,,
eprints,keele,ac,,
ray,yorksj,ac,,
hira,hope,ac,,
bucks,repository,guildhe,ac,
marjon,repository,guildhe,ac,
bura,brunel,ac,,
www,dora,dmu,ac,
nora,nerc,ac,,
rgu-repository,worktribe,comprovider,,
napier-surface,worktribe,comprovider,,
repository,royalholloway,ac,uk/p,
sas-space,sas,ac,,
epubs,surrey,ac,,
repository,uwtsd,ac,,
ualresearchonline,arts,ac,,
eprints,hud,ac,,
usir,salford,ac,,
pearl,plymouth,ac,,
eprints,chi,ac,/,
researchonline,rvc,ac,,
bgro,repository,guildhe,ac,
lbsresearch,london,edu/cgi2,,
lau,collections,crest,ac,
rave,repository,guildhe,ac,
centaur,reading,ac,,
eprints,kingston,ac,,
plymsea,ac,,,
eresearch,qmu,ac,uk/,
shura,shu,ac,,
eprints,worc,ac,,
wlv,openrepository,com/wlv-oai/request,,
www,edshare,soton,ac,
researchspace,bathspa,ac,,
researchonline,rcm,ac,,
www,open-access,bcu,ac,
eprints,ncrm,ac,,
edshare,gcu,ac,,
lau,repository,guildhe,ac,
eprints,chi,ac,,
cedadocs,ceda,ac,,
napier-repository,worktribe,com,,
eprints,ncl,ac,uk,
ueaeprints,uea,ac,,
uobrep,openrepository,com/uobrep/request,,
data,kent,ac,,
eprints,leedsbeckett,ac,,
repository,canterbury,ac,,
sure,sunderland,ac,,
https://winchester,elsevierpure,com/,,
bear,buckingham,ac,?verb=identify,
openresearch,lsbu,ac,,
writtle,repository,guildhe,ac,
chesterrep,openrepository,com/request,,
cronfa,swan,ac,uk/Server,
openaccess,sgul,ac,,
dspace,lib,cranfield,ac,
