URL,,,,
imperial
gla
bris
ed
bham
cam
qub
kcl
manchester
exeter
liverpool
ucl
ed
lse
whiterose
whiterose
qmul
nottingham
bham
dur
gla
ox
warwick
bham
ox
cam
cardiff
ncl
nottingham
nottingham

st-andrews
rothamsted
westminster
port
gold
bath
kent
dundee
soton
hud
brighton
ulster
ntu
city
bangor
royalholloway
abertay
reading
tees
edgehill
glos
shef
derby
sruc
bournemouth
uel
gcu
northampton
abdn
aston
badc,rl
clok,uclan,
glyndwr,
,mdx,
,ma,man/perl2
research-,st-andrews/,
,roehampton/portal,
,stir,
uhra,herts,
,lincoln,
researchonline,lshtm,
crco,cssd/,
archive,lstmed,
researchonline,rca,
ids,
sprite,bolton,
shurda,shu,
,stir/,
newman,
,solent/,
oro,open,
arro,anglia,
e-space,mmu,
gala,gre,
radar,brookes,
epubs,stfc/repub,
sro,sussex,
strathprints,strath,
uwe-,,,
dera,ioe,
nrl,northumbria,
,coventry,
stmarys,
,essex,
radar,gsa,
,staffs,
,falmouth,
insight,cumbria,
,londonmet,
hull-,,,
hau,
,,uhblibrary,co,
bcu,-hosting,org/cgi2,,
rau,
opensurrey/view/44SUR_INST/request,
,alt,
,bbk,
bradscholars,brad/,
,lancs,
researchonline,ljmu,
nectar,northampton,
,soas,
uca,
,uwl,
,keele,
ray,yorksj,
hira,hope,
bucks,
marjon,
bura,brunel,
,dora,dmu
nora,nerc,
rgu-,,,
napier-surface,,,
,royalholloway/p,
sas-space,sas,
epubs,surrey,
,uwtsd,
ualresearchonline,arts,
,hud,
usir,salford,
pearl,plymouth,
,chi/,
researchonline,rvc,
bgro,
lbslondon,edu/cgi2,,
lau,collections,crest
rave,
centaur,reading,
,kingston,
plymsea,,
eqmu/,
shura,shu,
,worc,
wlv,open,com/wlv-oai/request,,
,edshare,soton
researchspace,bathspa,
researchonline,rcm,
,open-access,bcu
,ncrm,
edshare,gcu,
lau,
,chi,
cedadocs,ceda,
napier-,worktribe,com,,
,ncl,
uea,uea,
uobrep,open,com/uobrep/request,,
data,kent,
,leedsbeckett,
,canterbury,
sure,sunderland,
winchester,elsevier,com/,,
bear,buckingham?verb=identify,
openlsbu,
writtle,
chesterrep,open,com/request,,
cronfa,swan/Server,
openaccess,sgul,
,lib,cranfield
